,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
DLR_vol_21,0.0014992947933304245,0.009524839318391388,-0.029096097362373986,-0.0328585985572585,-0.03991497398997206,0.01471316086967567,0.009353721318384727,0.015299336546864866,-0.08117367358167032,-0.02635088479064886,0.04157868319843286,-0.07622185984816822,0.024820358146950418,-0.013824018014192398,0.0014303738410640907
DOV_vol_21,-0.021346722814686542,-0.008126895819277153,0.013695360837240997,0.04469305567383509,-0.008855393860750745,0.015788411256092493,0.0007780068507152658,-0.020085750877702115,-0.027195547775034686,-0.010914080962887455,-0.022884125707066293,-0.013516738062490357,-0.008186346216375599,0.04183146676096716,-0.020870226441857907
DPZ_vol_21,-0.014330309155329667,0.012330224932976348,-0.03498288837938384,0.04721773775950427,0.023524950730412764,-0.03195080058111511,0.013976232300829844,0.03639372778866421,-0.04650913036690082,0.02150893221320233,0.0297427411572106,-0.06127437997480637,0.03644226051867249,0.038189596743642425,0.04126651306434404
DTE_vol_21,-0.002540444001983127,0.012452675868838489,0.011392746375898492,-0.029685368513789917,-0.053701103867284807,0.015293789710420606,-0.032821336774585326,-0.038083215081848934,0.0017311127976636885,-0.02061704006666845,0.01139494890770243,-0.029084376073845508,0.0071501079005825635,-0.013302355267784413,0.026271020604434904
DXCM_vol_21,-0.036300969741668056,0.042438400904934566,-0.055353030217210795,0.0011935347707249459,0.023167116431265105,-0.03613885486918722,-0.13091411341329576,0.09936631177215047,-0.20173447455971785,0.02357652366811744,-0.10051917479674567,-0.0628856348777099,0.2809179055779691,-0.21313989593035865,-0.0723457141142624
EA_vol_21,-0.0897096290187093,-0.03174421753901188,-0.01683476133074294,-0.022186349271804084,0.073095291058196,-0.03720097364978075,0.010266481637636696,0.05413611428348522,0.0075552715979546065,0.017874431779147583,0.06785184017948659,0.003741539206730924,0.018921110562054835,-0.02753139660640723,0.023001341556806252
ED_vol_21,-0.008162919197249438,0.02575114649724124,0.010628872034028956,-0.03005046346215267,-0.04253764550764854,0.018972471187373923,-0.015475250434854908,-0.00837229047288807,0.0013017902833684987,-0.014801639623220494,0.017981730949700344,-0.01477936645548415,0.01823286148592355,-0.02451301175749302,0.014176913038256087
EFX_vol_21,0.029704411856637376,0.02154435915611902,-0.029725148141200444,0.0030883103954264155,-0.022531116497942438,-0.0002579385068898994,0.039192466207909595,0.03882563859492722,-0.02397546738511602,0.059718875346833684,-0.0033959061805505556,0.0034865329796911447,-0.012120444074084956,-0.02592798464420559,0.02946211280576815
EIX_vol_21,-0.0039960289989168065,0.041344930647785876,-0.004546470931583888,-0.01900334400965905,0.041163947323185936,-0.013434485846139196,-0.034013748551574026,-0.0168447301411891,0.02105484238967321,-0.030424194428527736,0.013738793948648884,-0.07390786443618927,0.029741695670271073,-0.024146269224184617,0.10031851118652141
EL_vol_21,0.04431518921074207,0.013463354730479963,-0.08562715415874471,0.04860141488054491,-0.06014900579589205,-0.009096179193996667,0.0156628357505414,-0.033826127209056214,0.025967632476157982,0.0687910210918178,0.00580267576201275,0.018638412126825096,-0.04782379602338558,-0.048802327461830976,0.02872487408505397
EMN_vol_21,0.003809969088410562,-0.02032550053441326,0.007589755146723622,0.017843248499421697,0.03770706950670964,0.012026221839875817,0.0435510205805086,-0.0203898891569099,0.03690510444642417,-0.05274506473457932,0.006306702852131058,-0.031574912536291494,0.029189569221631934,0.026914228333639982,-0.04575844180633364
ENPH_vol_21,-0.1221941959441266,0.22457191292361475,0.09512397353401364,-0.1672812451600436,-0.115473725593415,-0.07152754183509354,0.29069473630394077,-0.19937157325627503,0.09858569800716442,0.05146675433012493,-0.10691411590393024,-0.013338652784773053,-0.17768885205741672,-0.09982806077718184,-0.037122859391525126
EQIX_vol_21,-0.013817088381876124,-0.022507904929579516,-0.020398849948820977,-0.0074594998610999375,-0.01264525544241635,0.002198966621034907,0.04088888593654689,0.0037623923624067,0.01996489251115888,0.03184478700079757,-0.02656723138255089,-0.016748324898717505,0.044486770105732557,-0.0066907519466088295,0.022154790352585437
EQR_vol_21,0.01096817345243063,-0.015524245864828154,0.029392227881170456,-0.021211304298183544,-0.03866058488825367,0.012552889845922703,-0.027266053474439462,-0.007097733045861866,-0.019215085350660945,-0.0025253103750126136,0.034678379887324425,-0.032508529993758896,0.011031225346240459,-0.005261553166122071,0.03287734585594149
EQT_vol_21,0.07310538164996531,0.07535244618100598,0.053626774416875765,-0.020176195571641003,0.1940316715504846,-0.024349751806888132,0.07167479495825918,0.027154856926182854,0.13086193576524519,-0.09052002070448649,-0.015821877623591385,-0.018590617217260425,0.08860793018688425,0.03703784629567777,-0.05566673257961104
