,UMAP1,UMAP2
2012-10-05,-5.7701507,11.865544
2012-10-08,-5.7567,11.778866
2012-10-09,-5.7907114,11.824003
2012-10-10,-5.798238,11.842177
2012-10-11,-5.790471,11.825922
2012-10-12,-5.8044057,11.820075
2012-10-15,-5.8050537,11.814455
2012-10-16,-5.7638483,11.8549385
2012-10-17,-5.7996063,11.820617
2012-10-18,-5.8094234,11.826115
2012-10-19,-5.7891617,11.817902
2012-10-22,-5.782202,11.824843
2012-10-23,-5.7449994,11.852784
2012-10-24,-5.8083034,11.801018
2012-10-25,-5.8047075,11.7932
2012-10-26,-8.085327,8.383506
2012-10-31,-8.0604725,8.410694
2012-11-01,-8.063842,8.41481
2012-11-02,-8.029677,8.46151
2012-11-05,-8.023862,8.4683695
2012-11-06,-8.044766,8.439219
2012-11-07,-8.0536,8.436425
2012-11-08,-8.361295,8.115209
2012-11-09,-8.396151,8.068815
2012-11-12,-8.391763,8.055474
2012-11-13,-8.398562,8.056347
2012-11-14,-8.41373,8.062534
2012-11-15,-8.364413,8.097883
2012-11-16,-8.41964,8.048548
2012-11-19,-8.547511,7.94616
2012-11-20,-8.9427595,7.7156553
2012-11-21,-8.899671,7.7109747
2012-11-23,-8.914997,7.702529
2012-11-26,-8.942856,7.6772275
2012-11-27,-9.06469,7.619013
2012-11-28,-9.141218,7.5827327
2012-11-29,-9.274229,7.563445
2012-11-30,-9.298129,7.550045
2012-12-03,-9.207164,7.556199
2012-12-04,-9.1578665,7.597107
2012-12-05,-9.38657,7.5001335
2012-12-06,-9.360537,7.514928
2012-12-07,-9.370333,7.5301723
2012-12-10,-9.37917,7.510056
2012-12-11,-9.365736,7.522593
2012-12-12,-9.431586,7.5317864
2012-12-13,-9.348834,7.529477
2012-12-14,-9.3736,7.510943
2012-12-17,-9.326253,7.5155063
2012-12-18,-9.343447,7.512744
2012-12-19,-9.287371,7.5365024
2012-12-20,-9.213571,7.6239123
2012-12-21,-9.262463,7.558052
2012-12-24,-9.329866,7.5491743
2012-12-26,-9.26559,7.5561557
2012-12-27,-9.343567,7.514763
2012-12-28,-9.3324,7.5072956
2012-12-31,-9.327598,7.517262
2013-01-02,-9.317445,7.560105
2013-01-03,-9.364734,7.5172143
2013-01-04,-9.376401,7.5126348
2013-01-07,-9.179217,7.543007
2013-01-08,-9.12074,7.5842395
2013-01-09,-9.15082,7.5359306
2013-01-10,-9.112205,7.5654984
2013-01-11,-9.104382,7.567205
2013-01-14,-9.063703,7.603716
2013-01-15,-9.040587,7.645736
2013-01-16,-9.01773,7.6400495
2013-01-17,-9.051655,7.6252055
2013-01-18,-9.089045,7.5987997
2013-01-22,-9.190804,7.5313034
2013-01-23,-9.18757,7.511547
2013-01-24,-8.139449,8.354307
2013-01-25,-8.108489,8.426341
2013-01-28,-8.120846,8.396248
2013-01-29,-8.055266,8.447325
2013-01-30,-8.060957,8.440616
2013-01-31,-8.053108,8.450989
2013-02-01,-8.054817,8.44577
2013-02-04,-8.053884,8.440448
2013-02-05,-8.055609,8.420571
2013-02-06,-8.07751,8.387452
2013-02-07,-8.064289,8.40706
2013-02-08,-8.0748415,8.38737
2013-02-11,-8.057285,8.408569
2013-02-12,-8.023244,8.430087
2013-02-13,-8.053743,8.411477
2013-02-14,-8.062434,8.364895
2013-02-15,-8.111702,8.336451
2013-02-19,-8.092379,8.279059
2013-02-20,-8.100112,8.360319
2013-02-21,-8.094256,8.229153
2013-02-22,-8.063183,8.305769
2013-02-25,-8.11064,8.274718
2013-02-26,-8.110176,8.225512
2013-02-27,-8.184478,8.057776
2013-02-28,-8.176513,7.8656507
2013-03-01,-8.16986,7.8077164
2013-03-04,-8.181617,7.678571
2013-03-05,-8.193518,7.7197437
2013-03-06,-8.20591,7.70586
2013-03-07,-8.139927,7.704764
2013-03-08,-8.147856,7.6724024
2013-03-11,-8.164114,7.6613927
2013-03-12,-8.179603,7.6032124
2013-03-13,-8.16074,7.634278
2013-03-14,-8.132149,7.632703
2013-03-15,-8.131203,7.6430907
2013-03-18,-8.089013,7.630813
2013-03-19,-8.131095,7.6719685
2013-03-20,-8.088134,7.6440988
2013-03-21,-8.117614,7.6433787
2013-03-22,-8.212279,7.656128
2013-03-25,-8.211112,7.662181
2013-03-26,-8.260901,7.609443
2013-03-27,-8.231083,7.6194377
2013-03-28,-8.160543,7.62051
2013-04-01,-8.056451,7.590948
2013-04-02,-8.112028,7.6575537
2013-04-03,-8.108186,7.7371273
2013-04-04,-7.286642,7.3349156
2013-04-05,-7.796733,7.480318
2013-04-08,-7.8056426,7.46913
2013-04-09,-8.8946905,7.561207
2013-04-10,-8.902914,7.5414987
2013-04-11,-8.797969,7.548561
2013-04-12,-8.83333,7.552749
2013-04-15,-9.026443,7.613909
2013-04-16,-9.059821,7.6015124
2013-04-17,-9.086021,7.5843062
2013-04-18,-9.064013,7.6164985
2013-04-19,-9.902975,7.273947
2013-04-22,-9.889962,7.279536
2013-04-23,-9.885183,7.2821736
2013-04-24,-9.8759985,7.2895284
2013-04-25,-9.884129,7.2838273
2013-04-26,-9.872325,7.2862334
2013-04-29,-9.86471,7.291183
2013-04-30,-9.908459,7.2927346
2013-05-01,-9.890929,7.2805715
2013-05-02,-9.89598,7.2790513
2013-05-03,-9.890922,7.2840443
2013-05-06,-9.878859,7.2839527
2013-05-07,-9.884336,7.281106
2013-05-08,-9.611591,7.383687
2013-05-09,-9.314216,7.4623704
2013-05-10,-9.305693,7.4648056
2013-05-13,-9.256998,7.461448
2013-05-14,-9.171821,7.497526
2013-05-15,-9.120254,7.4659758
2013-05-16,-9.110155,7.481987
2013-05-17,-9.0947695,7.476904
2013-05-20,-7.6238985,7.4198565
2013-05-21,-7.4790215,7.381282
2013-05-22,-6.2765794,7.116604
2013-05-23,-6.230074,7.094895
2013-05-24,-6.2089686,7.0912848
2013-05-28,-6.25166,7.099579
2013-05-29,-6.200688,7.084823
2013-05-30,-6.221848,7.0915065
2013-05-31,-6.1956577,7.093626
2013-06-03,-6.2279553,7.106288
2013-06-04,-6.0790243,7.078935
2013-06-05,-6.135102,7.083174
2013-06-06,-6.0962625,7.0812116
2013-06-07,-5.901094,7.086777
