,regime
1970-01-01 00:00:00.895627800,1
1970-01-01 00:00:00.895714200,1
1970-01-01 00:00:00.895800600,1
1970-01-01 00:00:00.896059800,1
1970-01-01 00:00:00.896146200,1
1970-01-01 00:00:00.896232600,1
1970-01-01 00:00:00.896319000,1
1970-01-01 00:00:00.896405400,1
1970-01-01 00:00:00.896664600,1
1970-01-01 00:00:00.896751000,1
1970-01-01 00:00:00.896837400,1
1970-01-01 00:00:00.896923800,1
1970-01-01 00:00:00.897010200,1
1970-01-01 00:00:00.897269400,1
1970-01-01 00:00:00.897355800,1
1970-01-01 00:00:00.897442200,1
1970-01-01 00:00:00.897528600,1
1970-01-01 00:00:00.897615000,1
1970-01-01 00:00:00.897874200,1
1970-01-01 00:00:00.897960600,1
1970-01-01 00:00:00.898047000,1
1970-01-01 00:00:00.898133400,1
1970-01-01 00:00:00.898219800,1
1970-01-01 00:00:00.898479000,1
1970-01-01 00:00:00.898565400,1
1970-01-01 00:00:00.898651800,1
1970-01-01 00:00:00.898738200,1
1970-01-01 00:00:00.898824600,1
1970-01-01 00:00:00.899083800,1
1970-01-01 00:00:00.899170200,1
1970-01-01 00:00:00.899256600,1
1970-01-01 00:00:00.899343000,1
1970-01-01 00:00:00.899429400,1
1970-01-01 00:00:00.899688600,1
1970-01-01 00:00:00.899775000,1
1970-01-01 00:00:00.899861400,1
1970-01-01 00:00:00.899947800,1
1970-01-01 00:00:00.900034200,1
1970-01-01 00:00:00.900293400,1
1970-01-01 00:00:00.908415000,0
1970-01-01 00:00:00.908501400,0
1970-01-01 00:00:00.908760600,0
1970-01-01 00:00:00.908847000,0
1970-01-01 00:00:00.908933400,0
1970-01-01 00:00:00.909019800,0
1970-01-01 00:00:00.909106200,0
1970-01-01 00:00:00.909365400,0
1970-01-01 00:00:00.909451800,0
1970-01-01 00:00:00.909538200,0
1970-01-01 00:00:00.909624600,0
1970-01-01 00:00:00.909711000,0
1970-01-01 00:00:00.909970200,0
1970-01-01 00:00:00.910056600,0
1970-01-01 00:00:00.910143000,0
1970-01-01 00:00:00.910229400,0
1970-01-01 00:00:00.910315800,0
1970-01-01 00:00:00.910575000,0
1970-01-01 00:00:00.910661400,0
1970-01-01 00:00:00.910747800,0
1970-01-01 00:00:00.910834200,0
1970-01-01 00:00:00.910920600,0
1970-01-01 00:00:00.911179800,0
1970-01-01 00:00:00.911266200,1
1970-01-01 00:00:00.911352600,1
1970-01-01 00:00:00.911439000,1
1970-01-01 00:00:00.911525400,1
1970-01-01 00:00:00.911784600,1
1970-01-01 00:00:00.911871000,1
1970-01-01 00:00:00.911957400,1
1970-01-01 00:00:00.912043800,1
1970-01-01 00:00:00.912130200,1
1970-01-01 00:00:00.912389400,1
1970-01-01 00:00:00.912475800,1
1970-01-01 00:00:00.912562200,1
1970-01-01 00:00:00.912648600,1
1970-01-01 00:00:00.912735000,1
1970-01-01 00:00:00.912994200,1
1970-01-01 00:00:00.913080600,1
1970-01-01 00:00:00.913167000,1
1970-01-01 00:00:00.913253400,1
1970-01-01 00:00:00.913339800,1
1970-01-01 00:00:00.913599000,1
1970-01-01 00:00:00.913685400,1
1970-01-01 00:00:00.913771800,1
1970-01-01 00:00:00.913858200,1
1970-01-01 00:00:00.913944600,1
1970-01-01 00:00:00.914203800,1
1970-01-01 00:00:00.914290200,1
1970-01-01 00:00:00.914376600,1
1970-01-01 00:00:00.914463000,1
1970-01-01 00:00:00.914549400,1
1970-01-01 00:00:00.914808600,1
1970-01-01 00:00:00.914895000,1
1970-01-01 00:00:00.914981400,1
1970-01-01 00:00:00.915067800,1
1970-01-01 00:00:00.915413400,1
1970-01-01 00:00:00.915499800,1
1970-01-01 00:00:00.915586200,1
1970-01-01 00:00:00.915672600,1
1970-01-01 00:00:00.915759000,1
1970-01-01 00:00:00.916018200,1
1970-01-01 00:00:00.916104600,1
1970-01-01 00:00:00.916191000,1
1970-01-01 00:00:00.916277400,1
1970-01-01 00:00:00.916363800,1
1970-01-01 00:00:00.916623000,1
1970-01-01 00:00:00.916709400,1
1970-01-01 00:00:00.916795800,1
1970-01-01 00:00:00.916882200,1
1970-01-01 00:00:00.916968600,1
1970-01-01 00:00:00.917227800,1
1970-01-01 00:00:00.917314200,1
1970-01-01 00:00:00.917400600,1
1970-01-01 00:00:00.917487000,1
1970-01-01 00:00:00.917573400,1
1970-01-01 00:00:00.917832600,1
1970-01-01 00:00:00.917919000,1
1970-01-01 00:00:00.918005400,1
1970-01-01 00:00:00.918091800,1
1970-01-01 00:00:00.918178200,1
1970-01-01 00:00:00.918437400,1
1970-01-01 00:00:00.918523800,1
1970-01-01 00:00:00.920251800,1
1970-01-01 00:00:00.920338200,1
1970-01-01 00:00:00.920424600,1
1970-01-01 00:00:00.920511000,1
1970-01-01 00:00:00.920597400,1
1970-01-01 00:00:00.920856600,1
1970-01-01 00:00:00.920943000,1
1970-01-01 00:00:00.921029400,1
1970-01-01 00:00:00.921115800,1
1970-01-01 00:00:00.921202200,1
1970-01-01 00:00:00.921461400,1
1970-01-01 00:00:00.921547800,1
1970-01-01 00:00:00.921634200,1
1970-01-01 00:00:00.921720600,1
1970-01-01 00:00:00.921807000,1
1970-01-01 00:00:00.922066200,1
1970-01-01 00:00:00.922152600,1
1970-01-01 00:00:00.922239000,1
